                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9994,                 4.0994,                 2.8319,                0.00333,                      1,                0.05372,                 0.0223,                 2.1501,                  3.935,                 3.3059,                      0,                      0,                      0
                      2,                 1.9769,                 3.7418,                  2.928,                0.00333,                      1,                0.05415,                0.02241,                 2.1283,                 3.9275,                 3.2539,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 1.6783,                  3.982,                 2.2951,                0.00333,                      1,                0.05556,                0.02363,                 2.0378,                 3.8111,                 3.2007,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 1.2323,                 3.3318,                 1.9853,                0.00333,                      1,                0.05456,                0.02285,                 1.9775,                 3.7319,                 3.1322,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 1.0962,                 3.3732,                 1.6216,                0.00333,                      1,                0.06317,                0.02757,                 1.8806,                 3.7728,                 3.0035,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                0.82121,                 3.1461,                 1.3507,                0.00333,                      1,                0.06602,                 0.0294,                  1.816,                 3.7374,                 2.8673,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                0.77692,                 3.2412,                 1.3098,                0.00333,                      1,                0.07697,                0.03387,                 1.7267,                 3.6146,                 2.7275,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 0.6206,                 3.0742,                 1.1964,                0.00333,                      1,                 0.1555,                0.07638,                 1.6132,                 3.6199,                 2.5874,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                0.63553,                 2.8887,                 1.3575,                0.00333,                      1,                0.19301,                0.09239,                 1.5181,                 3.6492,                 2.4732,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 0.5871,                 2.9121,                0.99494,                0.00333,                      1,                 0.2283,                 0.1086,                 1.4508,                 3.6778,                 2.4318,              1.962e-05,              1.962e-05,              1.962e-05
